humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,clouds_all,air_pollution_index
74,4,320,1,1,284.23,40,51
74,4,330,8,8,281.99,20,73
69,5,330,6,6,279.81,1,208
64,4,340,5,5,279.35,1,99
55,6,340,5,5,278.9,1,16
59,5,330,8,8,278.46,1,272
41,4,340,8,8,277.78,1,131
41,4,350,1,1,277.27,1,173
41,4,310,9,9,277.47,1,125
45,2,320,8,8,276.97,20,22
41,5,350,7,7,276.52,40,29
38,3,350,8,8,276.6,40,210
38,2,360,4,4,277.31,75,263
41,1,290,6,6,278.38,90,95
48,1,270,3,3,279.35,90,189
51,1,250,2,2,281.37,90,246
59,0,0,4,4,283.11,90,70
64,1,250,8,8,284.08,75,224
69,0,0,4,4,285.14,75,224
69,0,0,1,1,286.35,90,99
69,1,220,6,6,287.23,100,105
80,1,200,1,1,288.53,90,70
79,1,200,8,8,290.37,90,65
79,1,200,6,6,290.13,90,229
74,2,230,6,6,288.86,75,103
74,0,0,4,4,287.36,90,49
74,3,220,1,1,285.11,90,257
51,5,230,2,2,283.46,90,226
44,4,230,4,4,282.45,90,163
42,3,220,7,7,281.88,90,71
31,4,230,3,3,281.78,90,249
27,5,220,1,1,281.09,75,199
31,4,210,5,5,281.17,90,155
25,4,210,3,3,281.25,92,19
21,6,220,2,2,281.25,99,139
23,3,220,3,3,281.25,99,69
27,2,170,2,2,280.1,99,184
33,3,150,7,7,280.1,99,82
33,3,160,3,3,279.61,99,248
36,3,170,6,6,279.61,99,188
39,3,170,2,2,279.67,99,76
45,2,130,2,2,280.19,1,90
51,2,140,3,3,282.09,75,86
42,2,200,7,7,282.26,75,257
45,2,195,9,9,282.05,90,204
48,3,190,2,2,281.59,90,77
52,2,190,2,2,281.23,81,65
52,2,180,8,8,282.6,81,108
56,2,190,8,8,282.6,81,279
52,3,170,7,7,282.6,81,85
52,2,170,6,6,282.6,81,75
49,3,150,9,9,282.6,81,42
43,4,180,5,5,282.6,81,278
43,4,180,4,4,273.9,1,39
43,5,170,4,4,274.4,75,35
43,4,180,8,8,274.05,75,219
41,5,200,5,5,273.71,40,278
41,4,200,6,6,272.66,1,132
27,5,210,1,1,272.65,1,42
31,4,260,8,8,272.52,1,152
36,6,280,8,8,275.19,20,154
44,6,280,9,9,275.34,1,271
47,7,300,8,8,284.1,50,14
54,7,300,1,1,284.1,50,170
53,2,290,2,2,283.78,75,153
57,1,230,9,9,283.52,75,161
57,2,220,3,3,283.32,90,14
61,1,220,7,7,282.06,90,204
61,3,220,6,6,281.95,90,134
63,2,253,5,5,281.81,90,85
65,1,286,3,3,282.16,90,178
68,0,320,4,4,282.53,90,226
66,3,260,6,6,283.91,90,192
65,7,310,6,6,284.64,90,122
87,4,280,3,3,284.61,90,285
75,3,217,6,6,283.18,72,187
75,5,260,8,8,282.26,72,134
57,7,270,7,7,280.77,72,208
39,9,270,1,1,278.53,75,147
42,6,290,1,1,277.64,75,227
42,6,270,8,8,277.9,90,177
49,4,313,9,9,278.18,90,143
47,5,305,8,8,279.29,75,170
45,7,297,4,4,280.45,75,281
45,7,297,4,4,280.95,40,289
45,7,297,3,3,281.74,40,257
45,7,297,7,7,281.84,75,231
45,7,297,1,1,282.45,75,181
45,7,297,1,1,282.2,75,268
57,5,288,2,2,281.54,40,265
69,3,280,4,4,280.21,20,177
66,4,285,1,1,282.2,56,129
64,4,290,5,5,272.58,1,28
64,4,300,2,2,272.06,1,256
64,3,280,5,5,270.99,1,214
74,3,260,5,5,270.29,20,76
74,2,260,6,6,269.48,1,194
86,2,260,9,9,269.27,1,117
64,2,270,3,3,268.91,1,174
80,1,240,3,3,268.98,75,130
68,2,244,3,3,269.23,40,93
57,3,248,2,2,272.61,40,270
45,3,252,8,8,276.78,20,116
34,4,257,6,6,279.22,1,132
34,4,257,6,6,280.35,1,82
29,6,260,5,5,281.81,1,163
29,4,250,8,8,283.05,1,298
34,2,220,9,9,283.96,1,106
39,2,140,2,2,284.53,1,287
39,3,130,5,5,284.44,1,263
42,2,120,3,3,283.64,1,91
37,3,150,3,3,281.85,20,26
37,4,160,6,6,281.38,1,189
32,5,190,1,1,281.84,75,225
34,7,210,8,8,282.23,90,31
37,6,220,6,6,282.18,90,245
37,6,240,4,4,282.49,90,220
40,3,270,1,1,282.54,90,295
43,5,320,2,2,282.58,90,216
52,6,350,8,8,282.23,90,264
80,3,360,9,9,282.08,90,20
75,5,350,4,4,282.23,90,43
75,7,350,4,4,282.24,90,130
60,5,360,4,4,282.24,90,245
52,6,330,1,1,282.24,57,192
42,9,330,3,3,282.43,57,87
37,5,350,8,8,282.43,57,132
26,7,330,7,7,282.43,57,285
25,6,320,6,6,282.33,57,217
26,5,320,6,6,282.33,57,195
21,5,350,6,6,282.82,57,26
24,7,330,2,2,282.82,57,299
25,6,328,7,7,283.33,57,263
26,6,327,8,8,283.33,57,108
28,6,326,1,1,283.33,57,156
29,6,325,1,1,283.75,93,123
31,5,324,4,4,283.75,93,106
74,0,0,2,2,283.75,93,179
59,1,340,2,2,284.09,93,208
59,1,310,3,3,284.09,93,186
68,0,0,4,4,284.09,93,133
74,0,0,8,8,284.55,93,166
92,0,0,6,6,284.55,93,104
79,0,0,9,9,284.68,93,295
74,0,0,5,5,284.64,93,108
80,0,0,5,5,284.64,93,244
74,0,0,3,3,284.4,93,199
55,2,150,2,2,284.17,93,282
38,4,130,8,8,284.03,93,27
36,3,0,5,5,283.58,93,183
31,4,160,4,4,283.04,93,129
24,5,140,9,9,281.95,93,265
19,5,170,2,2,281.95,93,105
18,4,170,7,7,281.61,93,40
20,6,170,6,6,281.61,93,106
23,6,160,4,4,281.57,85,202
26,4,150,5,5,281.42,85,242
28,2,0,2,2,281.29,85,55
28,5,140,6,6,281.29,85,245
28,4,140,4,4,281.02,85,58
31,5,140,2,2,281.02,85,171
31,5,160,4,4,280.82,85,294
39,5,150,1,1,280.82,85,143
49,5,170,6,6,280.39,85,266
66,5,170,6,6,280.19,100,192
75,4,160,9,9,279.82,100,36
70,4,160,1,1,279.75,100,149
81,4,170,7,7,280.07,100,269
81,4,170,8,8,280.32,90,89
87,2,160,2,2,281.72,100,189
87,3,140,5,5,284.01,40,276
100,3,110,5,5,285.88,1,61
100,1,120,1,1,286.87,1,93
87,0,0,5,5,287.6,20,165
87,2,60,8,8,287.27,20,113
100,2,70,9,9,286.18,20,106
93,2,90,4,4,285.2,75,134
100,2,30,8,8,284.68,75,192
93,2,30,5,5,284.49,90,63
100,3,10,2,2,283.54,20,173
100,2,30,5,5,282.33,75,158
100,2,20,2,2,281.21,20,299
93,3,10,7,7,279.87,1,96
93,3,10,4,4,278.93,1,171
93,2,40,9,9,277.91,1,177
93,3,10,4,4,277.21,1,144
93,3,20,9,9,276.61,1,99
93,3,20,8,8,276.11,1,90
93,2,20,2,2,274.81,20,240
93,4,360,3,3,274.99,20,98
87,2,360,9,9,277.91,20,11
93,4,340,1,1,280.71,20,231
93,5,360,7,7,283.85,20,26
87,6,350,8,8,286.01,40,205
93,4,360,9,9,286.31,1,129
93,6,340,4,4,288.15,75,251
100,4,340,4,4,289.15,75,183
100,0,22,9,9,288.99,75,41
66,5,330,4,4,288.86,75,284
50,5,330,1,1,288.16,90,204
47,6,320,1,1,287.28,68,13
33,5,340,7,7,287.04,90,290
33,6,320,7,7,286.9,90,30
33,7,310,4,4,287.09,90,247
46,3,320,7,7,287.09,90,102
46,2,300,4,4,286.89,75,98
50,2,290,9,9,286.93,75,122
50,3,330,6,6,286.93,90,230
66,2,300,2,2,287.07,90,107
61,3,300,9,9,286.56,75,151
65,3,320,7,7,285.91,90,159
65,3,320,2,2,285.29,90,57
65,3,310,8,8,284.92,75,60
75,3,290,5,5,285.35,75,217
75,2,290,3,3,285.72,100,20
75,0,0,1,1,285.72,100,279
75,0,0,1,1,287.09,75,272
80,1,210,9,9,288.31,75,206
75,1,280,1,1,288.61,1,195
65,0,0,7,7,290.32,1,230
57,0,0,9,9,291.36,1,90
43,1,260,1,1,292.01,1,231
50,0,0,3,3,292.61,1,179
38,3,260,1,1,292.65,1,95
38,1,0,7,7,290.52,40,53
36,2,150,2,2,288.35,40,270
38,2,160,7,7,286.72,40,113
38,2,140,7,7,285.49,40,293
44,3,140,3,3,284.22,20,237
44,3,130,6,6,283.8,20,197
44,4,150,4,4,283.72,20,130
47,5,150,6,6,282.8,40,158
50,3,140,2,2,282.32,99,66
54,4,150,5,5,282.38,99,198
54,5,160,3,3,282.76,90,47
54,3,170,7,7,282.88,99,210
50,2,170,1,1,284.18,75,238
50,4,150,7,7,284.69,90,140
58,3,150,5,5,285,90,180
58,0,0,6,6,286.9,99,44
62,3,140,9,9,288.35,90,210
66,3,130,2,2,289.59,90,177
66,3,140,1,1,288.27,99,255
62,5,160,4,4,286.41,90,233
62,3,160,3,3,285.96,90,67
59,2,150,4,4,287.04,90,299
55,2,150,2,2,287.18,90,34
48,2,120,1,1,286.94,90,41
45,1,160,2,2,286.01,90,119
49,2,210,4,4,284.67,100,110
49,2,140,8,8,283.44,100,159
59,1,0,4,4,282.51,100,202
63,1,80,4,4,281.9,90,118
71,2,60,9,9,281.85,90,286
71,0,0,2,2,281.28,90,242
71,3,90,8,8,280.97,87,30
71,1,120,4,4,280.44,87,261
76,2,120,7,7,280.44,87,23
81,2,110,9,9,280.02,87,224
81,1,110,8,8,279.79,87,33
87,2,100,6,6,279.79,87,29
81,1,120,4,4,279.79,87,211
87,3,100,6,6,279.79,87,61
81,5,110,7,7,279.74,87,195
81,4,110,5,5,279.74,87,216
81,3,100,5,5,279.65,87,104
71,6,150,6,6,279.65,87,275
62,4,150,7,7,279.65,87,24
59,4,180,8,8,279.45,91,184
63,8,240,7,7,279.45,91,228
71,8,250,1,1,279.22,91,19
66,6,250,5,5,279.22,91,28
58,7,240,9,9,279.22,91,77
50,5,240,2,2,279.35,91,287
50,5,240,8,8,279.35,91,24
54,5,250,1,1,279.92,91,123
54,3,230,7,7,280.44,90,167
76,6,240,7,7,281,90,113
76,5,250,7,7,281.51,90,289
76,4,250,5,5,281.93,92,95
76,4,260,2,2,281.94,92,103
75,3,240,2,2,281.94,92,183
75,3,250,6,6,282.27,92,251
93,3,230,5,5,282.41,92,271
93,3,260,2,2,282.21,90,291
93,2,250,8,8,281.69,75,156
93,3,250,1,1,281.26,90,11
93,3,250,4,4,280.66,92,77
93,3,260,1,1,280.43,92,78
100,3,230,5,5,280.43,92,56
93,3,230,9,9,280.1,92,73
87,2,240,2,2,280.1,92,89
87,0,0,5,5,280.1,92,263
81,0,0,7,7,280.06,92,246
75,0,0,1,1,280.06,92,148
70,0,0,9,9,280.28,96,273
70,0,0,1,1,280.28,96,163
76,0,0,6,6,280.38,96,141
70,0,0,4,4,280.62,96,235
70,0,0,7,7,280.62,96,101
70,0,0,3,3,280.91,96,127
76,0,0,9,9,280.91,96,135
76,0,0,8,8,280.91,96,236
81,0,0,2,2,280.96,96,188
81,0,0,5,5,280.96,96,94
81,0,0,4,4,280.96,96,173
87,0,0,7,7,281.13,96,239
93,0,0,9,9,281.13,96,215
93,0,0,2,2,281.13,96,113
93,0,0,9,9,281.28,100,123
93,2,20,7,7,281.28,100,197
93,1,300,2,2,281.28,100,280
93,2,310,5,5,281.19,100,60
100,1,340,7,7,281.19,100,231
100,2,360,5,5,281.19,100,120
93,2,10,4,4,281.7,100,64
93,2,30,8,8,281.7,100,21
100,3,50,6,6,281.7,100,199
93,4,20,4,4,281.7,100,164
76,3,30,9,9,282.02,100,274
71,3,30,4,4,282.02,100,113
66,4,10,6,6,282.02,100,172
62,3,20,4,4,282.02,100,150
61,3,0,5,5,282.35,100,246
66,1,360,2,2,282.35,100,53
66,1,30,8,8,282.35,100,248
81,1,270,5,5,282.71,100,106
81,1,320,8,8,282.71,100,107
86,0,0,2,2,282.71,100,62
81,0,0,2,2,282.71,100,118
83,0,0,8,8,283.31,48,266
85,0,0,9,9,283.79,90,20
88,0,0,4,4,284.2,75,187
90,0,0,4,4,284.32,90,34
92,0,0,8,8,284.13,75,135
95,0,0,9,9,283.14,40,275
97,0,0,3,3,281.4,40,142
100,0,0,8,8,280.47,20,287
95,0,21,3,3,279.52,20,51
91,0,42,3,3,278.85,48,110
87,1,63,4,4,278.12,48,293
83,1,84,6,6,277.94,48,286
78,2,105,6,6,275.93,60,148
74,2,126,3,3,275.93,60,230
70,2,147,7,7,284.09,75,78
66,3,168,8,8,282.6,75,186
62,3,190,4,4,281.72,90,206
81,4,220,5,5,281.26,90,42
81,3,200,2,2,281.29,75,237
81,3,180,9,9,281.01,75,145
81,3,160,2,2,280.57,40,143
81,3,140,3,3,280.54,75,152
87,3,140,9,9,279.37,8,254
87,3,140,9,9,279.18,8,146
87,2,130,4,4,279.05,8,70
87,2,120,2,2,282.7,38,65
87,3,110,6,6,286.17,40,142
93,3,120,6,6,288.61,75,217
87,4,110,8,8,290.59,20,135
87,4,120,6,6,292.21,75,132
84,4,129,7,7,293.56,75,240
81,4,138,6,6,293.43,40,44
79,4,147,2,2,293.4,40,275
76,4,156,1,1,291.47,20,100
71,5,120,4,4,289.17,20,30
54,5,130,7,7,287.28,1,149
48,5,150,5,5,286.1,1,274
42,6,150,5,5,285.45,75,129
43,6,160,9,9,285.33,90,230
46,6,170,9,9,285.07,90,32
46,3,180,9,9,284.58,90,48
49,3,230,9,9,283.88,75,244
59,2,300,7,7,283.55,75,250
63,4,320,8,8,282.85,20,137
76,2,300,1,1,282.42,20,31
71,1,0,8,8,282.13,75,64
71,1,310,6,6,281.85,40,56
62,3,10,5,5,281.85,20,243
62,0,0,7,7,283.07,75,36
66,1,320,9,9,284.53,90,57
71,2,360,6,6,285.6,75,176
76,3,350,9,9,286.63,90,280
81,2,360,2,2,286.75,99,90
76,4,10,9,9,287.97,90,127
76,4,30,4,4,288.54,99,54
76,3,20,1,1,288.72,90,284
76,4,20,6,6,288.53,90,190
76,4,20,1,1,288.16,90,241
66,5,20,2,2,287.59,90,95
58,5,30,6,6,287.21,90,114
76,6,20,6,6,286.29,90,252
71,5,30,8,8,285.7,90,186
67,5,40,5,5,285.61,90,243
51,7,60,3,3,285.37,99,87
51,6,70,4,4,285.37,99,135
63,4,70,4,4,285.51,90,198
67,5,70,4,4,285.6,100,69
67,4,80,8,8,285.99,100,229
71,4,60,4,4,285.99,100,85
76,5,60,4,4,285.94,100,100
76,4,70,9,9,285.94,100,125
87,4,70,5,5,285.97,90,289
82,4,80,1,1,285.97,90,176
82,5,80,2,2,285.97,90,135
87,4,100,5,5,285.73,90,242
93,7,110,8,8,285.73,90,123
93,4,100,8,8,285.73,90,109
93,5,110,5,5,285.73,90,160
93,3,100,2,2,285.5,90,81
93,4,70,6,6,285.5,90,176
100,5,90,6,6,285.55,90,81
93,4,110,8,8,285.55,90,20
93,5,110,5,5,285.55,90,238
87,5,140,3,3,285.55,90,135
82,5,140,5,5,285.93,90,162
88,4,130,3,3,285.93,90,171
88,4,110,8,8,285.93,90,287
88,2,130,2,2,286.34,90,188
82,3,230,4,4,286.82,90,153
72,3,210,8,8,286.82,90,148
77,0,0,3,3,288.36,90,215
82,1,120,1,1,288.36,90,105
87,1,120,8,8,288.36,90,223
87,2,350,6,6,289.08,90,78
93,1,300,8,8,289.08,90,28
82,3,270,2,2,289.08,90,110
87,0,0,2,2,289.88,90,90
93,0,0,7,7,289.88,90,192
87,0,0,2,2,290.24,90,27
87,0,0,4,4,290.24,90,164
93,2,270,3,3,290.24,90,138
87,0,0,2,2,290.01,90,170
87,2,310,7,7,289.62,90,128
87,0,0,6,6,289.62,90,182
87,2,175,8,8,289.61,90,162
87,4,350,8,8,289.61,90,29
77,5,10,4,4,289.06,90,43
77,3,10,9,9,288.34,75,69
87,3,290,6,6,288.34,75,167
93,4,360,8,8,287.06,20,215
93,4,350,1,1,287.41,75,102
100,5,350,8,8,287.52,90,227
93,5,340,5,5,287.81,90,98
93,4,340,4,4,287.29,75,182
93,7,330,3,3,287.23,90,49
93,4,340,5,5,286.44,90,212
87,5,350,9,9,285.32,90,230
87,6,360,9,9,285.32,90,56
87,7,340,2,2,285.43,90,252
87,7,330,3,3,285.53,75,97
93,5,360,9,9,285.2,90,166
87,6,350,1,1,285.2,90,171
93,6,350,5,5,285.02,90,29
93,7,350,3,3,286.43,90,157
87,5,350,5,5,287.36,90,210
93,7,350,1,1,287.6,90,160
87,8,340,6,6,287.29,90,109
93,10,330,6,6,286.41,90,256
93,7,320,6,6,286.41,90,122
93,10,320,8,8,286.41,90,228
93,8,320,8,8,286.41,90,34
93,9,320,4,4,285.8,90,298
93,7,310,2,2,285.8,90,112
93,7,310,8,8,285.8,90,88
86,6,310,4,4,285.8,90,25
74,9,320,7,7,285.8,90,68
69,7,310,6,6,285.29,90,203
64,6,290,8,8,285.29,90,134
64,7,290,8,8,285.29,90,41
64,5,300,4,4,284.77,90,187
64,4,270,3,3,284.77,90,228
64,6,270,6,6,284.77,90,109
59,7,280,2,2,284.29,90,112
59,6,270,8,8,284.29,90,127
59,6,280,8,8,284.29,90,252
55,6,280,9,9,284.29,90,128
64,6,270,8,8,283.79,90,16
64,5,270,7,7,283.79,90,19
69,5,280,1,1,283.79,90,290
69,6,280,3,3,283.44,90,51
69,4,270,9,9,283.44,90,56
69,5,260,1,1,283.44,90,105
64,6,280,8,8,283.22,90,255
64,0,248,7,7,283.22,90,233
51,7,290,7,7,283.22,90,123
48,6,310,6,6,282.82,90,41
48,5,290,9,9,282.13,90,162
51,6,280,2,2,281.05,90,226
47,6,290,6,6,281.05,90,255
48,4,290,1,1,281.05,90,281
48,4,290,8,8,280.44,90,270
48,5,270,5,5,280.44,90,16
51,6,270,5,5,280.07,90,214
55,4,270,4,4,280.07,90,273
59,4,270,2,2,280.07,90,298
64,3,270,2,2,279.54,90,211
69,2,250,2,2,279.54,90,125
69,2,240,9,9,279.54,90,221
74,2,230,4,4,279.54,90,169
74,2,250,3,3,278.93,90,138
74,1,230,4,4,278.93,90,157
74,2,220,2,2,278.93,90,87
74,2,220,4,4,278.93,90,271
86,2,230,9,9,278.93,90,61
80,1,210,3,3,278.27,90,267
86,2,190,6,6,278.27,90,230
86,0,0,5,5,278.27,90,48
74,1,240,4,4,278.27,90,257
64,2,230,7,7,278.07,90,297
48,2,200,6,6,278.07,90,263
41,4,220,8,8,278.07,90,125
35,3,210,4,4,277.53,90,206
35,4,210,7,7,277.53,90,223
38,4,230,3,3,276.23,90,101
41,3,230,2,2,276.23,90,41
44,1,200,6,6,276.23,90,102
48,1,220,5,5,275.66,90,241
51,0,0,1,1,275.66,90,140
55,0,0,3,3,275.66,90,232
55,0,0,3,3,275.02,90,22
64,0,0,1,1,275.02,90,30
64,0,0,1,1,275.02,90,23
64,0,0,9,9,275.02,90,116
80,0,0,6,6,275.03,90,137
80,0,0,5,5,275.03,90,41
80,1,110,1,1,275.03,90,178
80,0,0,3,3,275.03,90,297
74,1,120,1,1,274.5,90,90
74,1,110,7,7,274.5,90,191
74,2,120,3,3,275.01,90,199
74,2,140,7,7,275.38,90,264
64,3,140,9,9,275.38,90,175
55,3,170,9,9,275.85,90,265
48,3,170,8,8,276.56,90,207
41,2,0,5,5,276.7,90,222
38,3,200,5,5,276.71,90,54
39,2,160,4,4,276.43,90,22
39,3,130,3,3,276.23,90,61
39,3,160,3,3,275.99,75,274
39,2,160,2,2,276.28,90,52
48,2,130,5,5,276.28,90,16
48,2,140,6,6,276.01,90,239
51,2,150,7,7,275.36,90,53
55,3,140,3,3,274.93,20,181
48,3,160,1,1,274.28,20,111
51,2,160,1,1,274.01,1,232
59,2,150,1,1,273.71,1,77
59,2,150,2,2,273.43,1,131
59,2,140,7,7,273.65,20,86
59,0,0,6,6,274.58,75,214
59,2,140,1,1,275.39,90,180
68,2,130,4,4,275.44,0,227
68,1,150,3,3,276.11,90,202
68,2,130,7,7,276.48,90,162
64,3,110,6,6,276.5,90,50
55,3,130,6,6,276.56,90,32
51,3,140,6,6,276.61,90,195
52,3,140,3,3,276.9,90,225
52,3,110,5,5,276.61,90,52
52,2,140,7,7,276.34,90,122
48,3,130,1,1,275.96,90,240
48,4,140,9,9,275.6,90,119
48,3,120,3,3,274.86,90,147
45,4,110,4,4,274.05,20,114
45,4,100,9,9,273.62,20,149
48,3,110,3,3,273.52,20,264
48,3,110,4,4,273.54,90,84
48,2,110,2,2,273.63,90,242
48,1,70,6,6,273.63,90,221
59,0,0,3,3,273.22,90,67
74,0,0,4,4,272.75,75,47
86,0,0,3,3,272.16,75,271
86,1,30,1,1,271.06,20,221
86,0,0,9,9,270.68,1,147
86,0,0,1,1,272.6,1,291
80,0,0,6,6,274.06,1,67
79,2,40,7,7,275.81,1,282
74,2,30,5,5,277.54,20,62
74,1,350,7,7,278.54,40,215
64,0,0,8,8,278.97,40,14
56,3,40,9,9,278.91,75,116
49,4,360,5,5,278.81,75,252
45,4,20,9,9,278.27,75,157
42,3,360,1,1,276.67,75,188
39,5,360,8,8,275.86,75,183
37,6,10,3,3,274.29,75,148
39,4,340,5,5,273.37,75,184
39,5,350,9,9,272.77,75,262
35,5,360,4,4,272.01,75,259
41,5,20,8,8,271.78,40,145
40,5,10,1,1,271.41,75,31
40,3,20,6,6,271.46,75,47
47,2,10,2,2,271.76,75,36
47,2,350,1,1,272.24,90,291
47,2,330,5,5,271.98,90,288
63,2,310,9,9,271.53,40,129
58,2,320,2,2,271.46,40,262
58,2,330,2,2,271.7,40,74
63,1,300,6,6,273.26,75,83
68,0,0,4,4,274.9,90,183
63,0,0,4,4,276.33,90,269
73,1,300,3,3,277.58,90,294
68,2,320,8,8,278.5,90,82
55,1,340,4,4,279.3,90,88
47,3,310,3,3,279.89,90,53
38,3,320,2,2,280.11,40,242
33,4,310,6,6,279.82,40,12
29,3,280,3,3,278.69,40,88
23,2,290,1,1,277.75,40,190
31,0,0,1,1,276.77,40,148
27,5,320,2,2,276.61,75,16
36,2,310,2,2,276.06,75,222
36,0,0,1,1,275.22,20,10
39,0,0,6,6,274.75,20,193
48,1,260,6,6,274.24,20,260
45,0,0,4,4,273.47,20,224
42,0,0,9,9,273.5,1,86
45,1,240,6,6,273.15,75,52
45,0,0,8,8,273,20,166
56,0,0,2,2,272.69,20,27
60,0,0,7,7,273.08,40,229
64,0,0,3,3,273.91,75,82
65,3,310,9,9,274.82,75,199
56,4,320,2,2,276.16,75,271
60,5,340,5,5,277.69,90,153
69,4,320,7,7,278.47,90,138
75,5,320,8,8,279.12,90,287
60,5,330,6,6,279.28,90,199
56,7,350,7,7,280.19,90,160
